,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
0,1,2,3,1.4249452621065857,1.5204805161527066,2.4276939675338,0.14533451081549598,0.05029458273418778,-0.7558148237451537
1,1,2,4,1.4249452621065857,2.4291286503600444,2.968292606870153,0.14533451081549598,-0.7567534549740785,-0.9850210916107225
2,1,2,5,1.4249452621065857,2.573138356171311,2.8968096243971555,0.14533451081549598,-0.8427340797477052,-0.9701899297785898
3,1,2,6,1.4249452621065857,3.663561245564211,4.247292549377779,0.14533451081549598,-0.8668393445049469,-0.4485089914741431
4,1,2,7,1.4249452621065857,3.4057524866026316,3.2871256440848144,0.14533451081549598,-0.9653122077561728,-0.9894287522355475
5,1,2,8,1.4249452621065857,3.5070303677042785,3.6966645776970353,0.14533451081549598,-0.933967429939227,-0.8498625381451296
6,1,2,9,1.4249452621065857,4.447026084924621,4.320239113752847,0.14533451081549598,-0.2622594785831299,-0.382175966115584
7,1,2,10,1.4249452621065857,5.764304728239133,5.719117938983249,0.14533451081549598,0.8683748539182835,0.845087578856726
8,1,2,11,1.4249452621065857,6.19686130230458,6.361950094114225,0.14533451081549598,0.9962763962593274,0.9968996575159615
9,1,2,12,1.4249452621065857,6.753365161162249,6.5423135051753665,0.14533451081549598,0.8914868203736667,0.9666137341996236
10,1,2,13,1.4249452621065857,6.695575479374423,6.266112510959247,0.14533451081549598,0.9161654590722844,0.9998542633546086
11,1,2,14,1.4249452621065857,7.919420496475737,7.41449216062705,0.14533451081549598,-0.06539216829621126,0.42547750974014636
12,1,2,15,1.4249452621065857,5.606329547930625,5.021208420290875,0.14533451081549598,0.7795459485074314,0.30393413711253076
13,1,2,16,1.4249452621065857,4.388534265560657,3.9118558255641265,0.14533451081549598,-0.3182232463501576,-0.717727441466843
14,1,3,4,2.4276939675338,1.4538098225008689,2.968292606870153,-0.7558148237451537,0.11671984369389841,-0.9850210916107225
15,1,3,5,2.4276939675338,1.5324496729093569,2.8968096243971555,-0.7558148237451537,0.03833725666888975,-0.9701899297785898
16,1,3,6,2.4276939675338,2.4311717339587484,4.247292549377779,-0.7558148237451537,-0.7580874391874584,-0.4485089914741431
17,1,3,7,2.4276939675338,2.398955814515973,3.2871256440848144,-0.7558148237451537,-0.7366880048225409,-0.9894287522355475
